收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/11/2018,11/15/2011,WX,新课标单元测试卷 生物 七年级下册 新课标版,1-1,10.8,0,0
1/11/2018,,WX,新课标单元测试卷 数学 六年级下册 新课标版,1-1,8.8,0,0
1/11/2018,2/4/2015,WX,新课标单元测试卷 语文 二年级下册 新课标版,2-1A,18,0,0
1/11/2018,6/18/2014,WX,新课标单元测试卷 物理 九年级全一册 新课标版,2-1,22,0,0
1/11/2018,5/4/2014,WX,新课标单元测试卷 英语 九年级全一册 新课标版,2-1,28,0,0
1/11/2018,11/24/2014,WX,新课标单元测试卷 语文 三年级下册 新课标版,2-1,18,0,0
1/12/2018,11/3/2017,WX,新高考 二轮专题突破+考前集训  生物  全国卷地区专用,1-1,56.9,12060,686214
1/12/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 数学 北师大版（第3版）,3-2,23.29,9620,224049.8
1/12/2018,7/19/2012,WX,京师备考 小学毕业升学总复习 语文,1-1,23,0,0
1/12/2018,7/19/2012,WX,京师备考 小学毕业升学总复习 数学,1-1,26,0,0
1/12/2018,,WX,京师作文大课堂 新概念作文新作精选B卷,1-1,31.2,0,0
1/12/2018,11/27/2013,WX,京师作文大课堂 新概念作文新作精选A卷,1-1,34.2,0,0
1/12/2018,,WX,京师作文大课堂 全国高考语文满分作文评析,1-1,36,0,0
1/12/2018,7/28/2017,WX,新课标高中数理化用表 公式定理大全,1-3,38.9,0,0
1/12/2018,9/8/2016,WX,新课标初中数理化用表 公式定理大全,1-5,19.9,0,0
1/12/2018,1/2/2018,WX,送审广东 初中总复习优化设计 地理（第3版）,3-2,21.21,9820,208282.2
1/12/2018,1/2/2018,WX,送审广东 初中总复习优化设计 地理（第3版）,3-2,21.21,176,3732.96
1/13/2018,12/25/2011,WX,小学语文读本 一年级下册,1-1,13.2,0,0
1/13/2018,8/15/2016,WX,中国历史 伴你学 七年级上册 北师大版,1-1,18,0,0
1/13/2018,7/24/2015,WX,英语 伴你学 九年级全一册 北师大版,1-1,29.8,0,0
1/13/2018,8/4/2016,WX,陕西 小学同步测控优化设计 语文 一年级上册 北师大版（第3版）,3-1,10.8,0,0
1/15/2018,1/4/2018,WX,送审黑龙江 课堂精练 数学 一年级下册 北师大版 增强版,1-6,10.39,440,4571.6
1/15/2018,1/4/2018,WX,送审黑龙江 课堂精练 数学 二年级下册 北师大版 增强版,1-6,11.61,470,5456.7
1/16/2018,12/22/2017,WX,送审广东 初中同步测控优化设计 生物 八年级下册 北师大版（第5版）,5-2,10.04,26240,263449.6
1/16/2018,12/25/2017,WX,送审广东 初中同步测控优化设计 生物 七年级下册 北师大版（第6版）,6-2,10.09,29840,301085.6
1/16/2018,8/10/2017,WX,送审四川 课内课外直通车 语文 五年级上册 北师大版,2-1,12.2,0,0
1/16/2018,7/25/2017,WX,送审四川 课内课外直通车 语文 四年级上册 北师大版,2-1,10.9,0,0
1/16/2018,7/21/2017,WX,送审 四川专版 课堂精练 数学 五年级上册 北师大版,1-1,10.9,0,0
1/16/2018,8/1/2017,WX,送审 四川专版 课堂精练 数学 六年级上册 北师大版,1-1,10.9,0,0
1/16/2018,7/21/2017,WX,送审 四川专版 课堂精练 数学 九年级上册 北师大版,1-1,12.8,0,0
1/16/2018,12/29/2017,WX,安徽 高中英语 选修7 录音带,1-13,16.5,6000,99000
1/16/2018,12/29/2017,WX,安徽 高中英语 选修8 录音带,1-13,16.5,6500,107250
1/16/2018,12/29/2017,WX,安徽 高中英语 必修5 录音带,1-12,11,2000,22000
1/16/2018,,WX,A Guess What (Level 3) Students Book,1-1,168,4,672
1/16/2018,,WX,Oxford Read and Discover 1: At the Beach Activity Book,1-1,13.7,1,13.7
1/16/2018,,WX,Oxford Read and Discover 6: Clothes Then and Now,1-1,64,1,64
1/16/2018,,WX,Oxford Read and Discover 6: Incredible Energy,1-1,64,1,64
1/16/2018,,WX,Oxford Read and Discover 5: Our World In Art,1-1,64,1,64
1/16/2018,,WX,Oxford Read and Discover 5: Exploring Our World,1-1,64,1,64
1/16/2018,,WX,Oxford Read and Discover 4: All About Ocean Life,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 4: How to Stay Healthy,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 3: Your Five Senses,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 3: Animals In the Air,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 1 Fruit,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 1: Eyes Reader,1-1,60,1,60
1/16/2018,,WX,Oxford Read and Discover 1: At the Beach Reader,1-1,60,6,360
1/16/2018,,WX,E Guess What (Level 2) Teachers Book with DVD,1-1,368,0,0
1/16/2018,4/29/2016,WX,新课标单元测试卷 英语 九年级全一册 新课标版,3-2,29.8,0,0
1/17/2018,7/25/2014,WX,北京市课改教材 探究实验报告册 物理 八年级,2-2,11.8,0,0
1/17/2018,7/25/2014,WX,北京市课改教材 探究实验报告册 物理 九年级,2-1,6.5,0,0
1/17/2018,1/11/2013,WX,国标教材 生物 伴你学 八年级下册,2-1,8.1,0,0
1/17/2018,12/29/2017,WX,高中数学读本 必修3,2-3,15,13676,205140
1/17/2018,12/27/2017,WX,送审陕西 高中同步测控优化设计 数学 选修1-2 北师大版 （第5版）,5-5,9.1,4983,45345.3
1/17/2018,6/30/2015,WX,送审山西 课堂精练 历史 八年级上册 北师大版,2-3,16.74,0,0
1/17/2018,12/27/2017,WX,送审陕西 高中同步测控优化设计 数学 选修2-2 北师大版 （第5版）,5-5,10.35,5018,51936.3
1/17/2018,12/26/2017,WX,送审江西 高中同步测控优化设计 数学 必修4 北师大版 （第5版）,5-4,12.3,0,0
1/17/2018,7/16/2015,WX,送审山西 数学 伴你学 七年级上册 北师大版,7-1,18.66,0,0
1/17/2018,12/26/2017,WX,送审江西 高中同步测控优化设计 数学 必修3 北师大版 （第5版）,5-4,11.05,0,0
1/17/2018,12/29/2017,WX,高中数学读本 必修4,2-3,15,12609,189135
1/17/2018,7/16/2015,WX,送审 山西专用 课堂精练 数学 八年级上册 北师大版,4-1,17.56,0,0
1/17/2018,7/28/2014,WX,送审山西 数学 伴你学 九年级上册 北师大版,6-1,19.31,0,0
1/17/2018,7/23/2014,WX,送审 山西专用 课堂精练 数学 七年级上册 北师大版,5-1,17.56,0,0
1/17/2018,7/21/2015,WX,送审山西 数学 伴你学 八年级上册 北师大版,7-1,18.01,0,0
1/17/2018,7/23/2014,WX,送审 山西专用 课堂精练 数学 九年级上册 北师大版,4-1,17.56,0,0
1/18/2018,11/21/2017,WX,小学思维训练丛书  第二册  思维导图,1-11,26,20000,520000
1/18/2018,12/29/2017,WX,广东 高中英语 必修4 录音带,1-12,10,13000,130000
