通知日期,书名,印次,定价,印单印数,总码洋
1/19/2018,湖北 课堂精练 道德与法治 八年级下册  双色,1-1,22.5,9500,213750
1/22/2018,送审 大庆专版 课堂精练 中国历史 八年级下册 北师大版,1-1,16.23,26194,425128.62
1/22/2018,决胜“希望之星”（初级）,1-2,98,5000,490000
2/27/2018,决胜“希望之星”（初级）,1-2,98,5000,490000
1/22/2018,送审 大庆专版 课堂精练 中国历史 七年级下册,1-1,16.23,26148,424382.04
1/22/2018,送审 哈尔滨专版 课堂精练 中国历史 八年级下册 北师大版,1-1,14.17,35632,504905.44
1/23/2018,送审 福建 新课程复习与提高 中国历史 八年级下册 北师大版,1-1,9.4,54800,515120
1/25/2018,内蒙古 课堂精练 中国历史 八年级下册 北师大版 双色,1-2,12.76,6000,76560
1/25/2018,京师读本 高中数学读本 必修3,1-4,20,3500,70000
1/25/2018,送审 广东 初中同步测控优化设计 道德与法治 八年级下册,1-1,10.76,5500,59180
1/25/2018,送审广西 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-5,11.88,15000,178200
1/30/2018,送审广西 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-5,11.88,20000,237600
2/26/2018,送审广西 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-5,11.88,13000,154440
3/19/2018,送审广西 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-5,11.88,3000,35640
3/26/2018,送审广西 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-5,11.88,7500,89100
1/25/2018,送审广西 课堂精练 生物 八年级下册 北师大版 双色（第2版）,2-6,11.28,28000,315840
1/30/2018,送审广西 课堂精练 生物 八年级下册 北师大版 双色（第2版）,2-6,11.28,25000,282000
1/30/2018,送审 江西专版 初中同步测控优化设计 道德与法治 八年级下册,1-2,10.1,2000,20200
1/30/2018,送审 江西专版 初中同步测控优化设计 道德与法治 七年级下册,1-2,10.75,2000,21500
1/30/2018,送审河南 课堂精练 道德与法治 七年级下册,1-2,12.37,58500,723645
1/31/2018,送审 山西专版 课堂精练 中国历史 八年级下册 北师大版,1-1,16.85,40000,674000
1/31/2018,送审山西 课堂精练 中国历史 七年级下册 部编版,1-1,16.26,45000,731700
1/31/2018,送审广东 初中同步测控优化设计 历史 九年级下册 北师大版,2-6,10.09,330,3329.7
2/26/2018,新高考 京师好题天天练 语文,1-6,49.9,5000,249500
3/12/2018,新高考 京师好题天天练 语文,1-6,49.9,6000,299400
2/27/2018,送审湖北 实验探究报告册 物理 八年级下册 北师大版,3-6,4.25,3000,12750
2/27/2018,重庆 高中同步测控优化设计 生物 选修1 生物技术实践 北师大版 （第4版）,4-2,8.5,2000,17000
3/5/2018,送审湖北 课堂精练 生物 八年级下册 北师大版,2-5,7.7,2000,15400
3/6/2018,海淀名师伴你学 同步学练测 高中英语 必修4 北师大版（第2版）,2-2,14.5,350,5075
3/12/2018,新高考 京师新考案 生物,1-1,93.9,6000,563400
4/4/2018,新高考 京师新考案 生物,1-1,93.9,20000,1878000
3/16/2018,新高考 一轮复习全能卷 语文,1-1,49.9,6000,299400
4/12/2018,新高考 一轮复习全能卷 语文,1-1,49.9,15000,748500
3/19/2018,送审陕西 初中同步测控优化设计 物理 八年级下册  北师大版,2-5,11.17,4000,44680
3/21/2018,新高考 京师新考案 化学,1-1,93.9,6000,563400
3/21/2018,新高考 京师新考案 考点版 地理,1-2,93.9,6000,563400
3/21/2018,新高考 京师新考案  历史 RJ版,1-1,93.9,6000,563400
3/21/2018,新高考 京师新考案 文科数学,1-1,95.9,6000,575400
4/12/2018,新高考 京师新考案 文科数学,1-1,95.9,8000,767200
3/22/2018,新高考 京师新考案 物理,1-1,93.9,5000,469500
3/23/2018,新高考 一轮复习全能卷 历史,1-1,48.9,5000,244500
3/23/2018,新高考 一轮复习全能卷 英语,1-1,49.9,8000,399200
3/23/2018,新高考 京师新考案 历史 RM版,1-1,93.9,6000,563400
3/23/2018,新高考 京师新考案 理科数学,1-1,95.9,10000,959000
3/23/2018,新高考 京师新考案 政治,1-1,93.9,6000,563400
3/23/2018,书法配套练习资源包 三年级下册,1-1,29.8,6000,178800
3/23/2018,新高考 一轮复习全能卷 政治,1-1,48.9,5000,244500
3/23/2018,新高考 一轮复习全能卷 理科数学,1-1,49.9,8000,399200
3/23/2018,新高考 一轮复习全能卷 生物,1-1,48.9,6000,293400
3/23/2018,新高考 一轮复习全能卷 化学,1-1,48.9,6000,293400
3/23/2018,新高考 一轮复习全能卷 物理,1-1,48.9,6000,293400
3/23/2018,新高考 一轮复习全能卷 文科数学,1-1,49.9,5000,249500
3/23/2018,新高考 京师新考案 英语 WY版,1-1,95.9,6000,575400
